,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1142,CHEMBL1241774,2200.0,nM,CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,5.657577319177793,305.13889348000004,7,1,2.5995999999999997,True
1143,CHEMBL1242118,2200.0,nM,CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,5.657577319177793,321.12257472000005,7,1,2.7627999999999995,True
1144,CHEMBL2408498,2260.0,nM,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ncccc1F,5.645891560852599,406.09649980000006,6,2,3.717200000000002,True
1145,CHEMBL3357634,2262.0,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,5.645507399410564,447.127359,6,2,4.528000000000004,True
1146,CHEMBL3780971,2270.0,nM,COc1ccc(-c2cnc3cncc(Nc4ccc(N5CCCCC5)cc4)c3n2)cc1,5.6439741428068775,411.20591042000007,6,1,5.434300000000005,True
1147,CHEMBL1834657,2300.0,nM,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,5.638272163982407,657.1634384180002,9,5,4.425800000000005,True
1148,CHEMBL3347650,2300.0,nM,COCc1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,5.638272163982407,359.02693878800005,3,2,3.7241000000000017,True
1149,CHEMBL3582441,2400.0,nM,O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCC[C@@H]5c5cccc(F)c5)nn34)ccn2)CC1,5.619788758288394,501.22885135600006,8,1,3.478500000000002,True
1150,CHEMBL3781696,2490.0,nM,COc1ccc(-c2cnc3cncc(Nc4ccc(N5CCOCC5)cc4)c3n2)cc1,5.603800652904264,413.18517497600004,7,1,4.280600000000002,True
1151,CHEMBL1242027,2500.0,nM,COc1cc(F)c(-c2nn(C(C)C)c3ncnc(N)c23)cc1F,5.6020599913279625,319.12446654,6,1,2.9432,True
1152,CHEMBL3781479,2540.0,nM,c1ccc(-c2cnc3c(Nc4ccc(N5CCCCC5)cc4)cncc3n2)cc1,5.5951662833800615,381.1953457360001,5,1,5.425700000000004,True
1153,CHEMBL1242757,2600.0,nM,CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.585026652029182,292.143644512,5,2,3.1377000000000006,True
1154,CHEMBL493315,2600.0,nM,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)s2)cc1Nc1ncc(-c2cccnc2)s1,5.585026652029182,477.09293146800013,8,4,5.089520000000002,True
1155,CHEMBL1241947,2600.0,nM,Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,5.585026652029182,301.0997311,7,1,2.83882,True
1156,CHEMBL3780758,2660.0,nM,c1ccc(-c2cnc3c(Nc4ccc(N5CCCCC5)cc4)nccc3n2)cc1,5.575118363368933,381.1953457360001,5,1,5.425700000000004,True
1158,CHEMBL3735491,2700.0,nM,CC(C)n1nc(C#Cc2cccc(Cl)c2)c2c(N)ncnc21,5.568636235841012,311.093773128,5,1,3.0426,True
1159,CHEMBL1080580,2700.0,nM,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,5.568636235841012,471.1365105320001,7,4,5.028020000000002,True
1160,CHEMBL2408507,2710.0,nM,Cc1cccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)n1,5.567030709125595,402.121571676,6,2,3.8865200000000026,True
1161,CHEMBL4078893,2750.0,nM,FC(F)(F)CNc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2ccoc12,5.560667306169737,427.10228712400004,7,2,4.430600000000002,True
1162,CHEMBL2408506,2770.0,nM,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)NCCN1CCOCC1,5.557520230935552,424.163436488,7,2,1.9927999999999997,True
1163,CHEMBL483847,2800.0,nM,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,5.552841968657781,374.0990603160001,5,2,3.8847000000000023,True
1164,CHEMBL3734967,2800.0,nM,COc1cccc(C#Cc2nn(C(C)C)c3ncnc(N)c23)c1,5.552841968657781,307.143310164,6,1,2.3978,True
1165,CHEMBL153843,2820.0,nM,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,5.549750891680639,371.12454679200005,3,2,4.964800000000003,True
1167,CHEMBL598797,2890.0,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,5.539102157243452,434.19540531199993,7,3,4.198000000000002,True
1169,CHEMBL3823620,2950.0,nM,CN(C)C1CCN(CCn2nc(-c3ccc(CC(=O)OC(C)(C)C)cc3)c3c(N)ncnc32)CC1,5.530177984021837,479.3008734240001,9,1,2.9856999999999996,True
1170,CHEMBL2311808,2953.0,nM,Cc1cn(-c2cccc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c2)cn1,5.529736553034922,461.1964083560001,7,2,5.3370400000000044,True
1171,CHEMBL3347419,3000.0,nM,COC(=O)c1cc2cc(NCc3ccc4[nH]ccc4c3)cnc2[nH]1,5.522878745280337,320.12732575200005,4,3,3.4429000000000016,True
1172,CHEMBL1241950,3000.0,nM,CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,5.522878745280337,334.16544257600003,8,3,2.4901999999999997,True
1173,CHEMBL332882,3090.0,nM,Nc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.510041520575165,336.089022096,5,3,3.999100000000001,True
