,molecule_chembl_id,IC50,units,smiles,pIC50
534,CHEMBL3917349,11.0,nM,CCc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC[C@H](CO)C2)cn1,7.958607314841775
535,CHEMBL4107125,11.0,nM,O=C(Nc1ccc(SC(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncnc2)c1,7.958607314841775
536,CHEMBL3915183,11.0,nM,COc1ccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncnc1,7.958607314841775
537,CHEMBL3951931,11.0,nM,N#Cc1cncc(-c2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cnc2N2CC[C@H](CO)C2)c1,7.958607314841775
538,CHEMBL3891720,11.0,nM,CN(CCO)c1ncc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncc(C#N)c1,7.958607314841775
539,CHEMBL4110478,11.0,nM,O=C(Nc1ccc([S+]([O-])C(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncc(F)c2)c1,7.958607314841775
540,CHEMBL3899209,11.0,nM,CN(CCO)c1ncc(C(=O)Nc2ccc(SC(F)(F)F)cc2)cc1-c1ccn[nH]1,7.958607314841775
541,CHEMBL4849019,11.05,nM,Cc1csc(-c2ccc3nc(NC(=O)[C@@H]4C[C@@H]4F)sc3c2)c1.Cl.Cl,7.95663772197887
542,CHEMBL2347747,11.2,nM,CCNC(=O)Nc1nc2ccc(-c3c(OC)cccc3OC)cc2[nH]1,7.950781977329818
543,CHEMBL2178270,11.4,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCC(N(C)C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,7.943095148663527
544,CHEMBL4874323,11.82,nM,Cc1cccc(C)c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1.O=CO,7.927382523454764
545,CHEMBL4862973,11.91,nM,Cc1ccncc1-c1ccc2nc(NC(=O)[C@H]3C[C@H]3F)sc2c1.Cl.Cl,7.924088238517222
546,CHEMBL4164448,11.94,nM,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,7.92299567320665
547,CHEMBL4860004,11.95,nM,Cc1ccncc1-c1ccc2nc(NC(=O)C3CC3(F)F)sc2c1,7.922632094715843
